inconsistency reports: 34 | compile path: fx.symbolic_trace + torch.compile(fullgraph=True, backend=inductor, mode=None)
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-0: discontinuous | v7_0:torch.float16 n=64 maxabs=1 scale=13 ulps=78.8 | ops=['Squeeze', 'Constant', 'Neg', 'Neg', 'Sub', 'Min', 'Ceil', 'CastF64', 'Atan']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-1: lowprec | v2_0:torch.float16 n=1 maxabs=1.344 scale=58.53 ulps=23.5; v5_0:torch.float16 n=1 maxabs=1.344 scale=53.16 ulps=25.9 | ops=['GELU', 'Tan', 'Tan', 'ExpandLast4', 'Greater', 'Sub', 'Abs', 'Neg']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-10: lowprec | v9_0:torch.float16 n=252 maxabs=0.00293 scale=0.8413 ulps=3.6; v8_0:torch.int32 n=21 maxabs=1 scale=1 | ops=['Add', 'Cos', 'GELU', 'Neg', 'Cos', 'ReduceMin', 'CastI32', 'Neg']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-11: discontinuous | v5_0:torch.float16 n=2416 maxabs=0.03442 scale=1 ulps=35.2; v8_0:torch.float16 n=94 maxabs=1 scale=87 ulps=11.8 | ops=['Constant', 'Transpose', 'Sin', 'Div', 'Reshape', 'Sin', 'Floor', 'ExpandLast3', 'Clip']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-12: lowprec | v0_0:torch.float16 n=1 maxabs=0.003906 scale=0.5137 ulps=7.8; v5_0:torch.float16 n=4 maxabs=1 scale=46 ulps=22.3; v2_0:torch.float16 n=1 maxabs=0.003906 scale=0.5137 ulps=7.8 | ops=['Constant', 'Abs', 'Mul', 'TorchReduceSum', 'Softmax', 'Abs', 'Round', 'Softmax', 'Add']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-13: discontinuous | v2_0:torch.float16 n=1500 maxabs=243.8 scale=689 ulps=362.3 | ops=['Constant', 'Where', 'Transpose', 'Sigmoid', 'Mul', 'TrilinearInterp', 'Tan', 'TorchReduceSum', 'ConstPad']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-14: discontinuous | v2_0:torch.float16 n=86 maxabs=287.5 scale=684.5 ulps=430.1 | ops=['ReduceMean', 'Div', 'PTMatMul', 'Concat1', 'ArgMax', 'CastF32', 'Concat4', 'Tan']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-15: discontinuous | v0_0:torch.float64 n=498 maxabs=15.67 scale=365.2 ulps=193231925050203.3; v2_0:torch.float16 n=386 maxabs=12 scale=293 ulps=41.9 | ops=['Floor', 'LeakyReLU', 'Tan', 'Tan', 'TorchReduceSum', 'CastF64', 'CastF64', 'Round']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-17: int | v2_0:torch.int32 n=3 maxabs=1 scale=6 | ops=['Constant', 'Sin', 'ConstPad', 'Add', 'Max', 'CastF64', 'Max', 'CastI32', 'Less']
--- bug-Symptom.INCONSISTENCY-Stage.VERIFICATION-18: int | v2_0:torch.int64 n=69 maxabs=1 scale=6 | ops=['Sin', 'Max', 'Neg', 'Abs', 'BilinearInterp', 'Atan', 'CastI64', 'ExpandLast3']
